ID,Player,Nationality,Pos,Club,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK
464,Hidemasa Morita, JPN,MF,Sporting CP,27,1995,5,5,331,3.7,0,1,1,0,0
465,Jhon Mosquera, COL,"FW,MF",Viktoria Plzeň,32,1990,5,5,431,4.8,0,1,1,0,0
466,Youssoufa Moukoko, GER,"FW,MF",Dortmund,17,2004,6,2,242,2.7,0,2,2,0,0
467,Mason Mount, ENG,MF,Chelsea,23,1999,9,5,441,4.9,0,2,2,0,0
468,Lucas Moura, BRA,"FW,MF",Tottenham,29,1992,3,2,175,1.9,0,0,0,0,0
469,Mykhailo Mudryk, UKR,"FW,DF",Chelsea,21,2001,2,1,94,1.0,0,0,0,0,0
470,Mykhailo Mudryk, UKR,MF,Shakhtar,21,2001,6,6,516,5.7,3,2,5,3,0
471,Paul Mukairu, NGA,FW,FC Copenhagen,22,2000,3,0,44,0.5,0,0,0,0,0
472,Nordi Mukiele, FRA,"DF,MF",Paris S-G,24,1997,4,1,111,1.2,0,0,0,0,0
473,Thomas Müller, GER,"MF,FW",Bayern Munich,32,1989,8,4,367,4.1,1,1,2,1,0
474,Petar Musa, CRO,FW,Benfica,24,1998,5,0,129,1.4,2,0,2,2,0
475,Jamal Musiala, GER,"MF,FW",Bayern Munich,19,2003,9,7,528,5.9,0,2,2,0,0
476,Bohdan Mykhaylychenko, UKR,DF,Shakhtar,25,1997,4,4,360,4.0,0,2,2,0,0
477,Obite N'Dicka, FRA,DF,Eint Frankfurt,22,1999,8,8,720,8.0,0,1,1,0,0
478,Nacho, ESP,DF,Real Madrid,32,1990,8,4,440,4.9,0,0,0,0,0
479,Jesús Navas, ESP,"DF,MF",Sevilla,36,1985,3,3,224,2.5,0,0,0,0,0
480,Flávio Nazinho, POR,"DF,MF",Sporting CP,19,2003,3,0,120,1.3,0,0,0,0,0
481,Tanguy Ndombele, FRA,MF,Napoli,25,1996,9,3,373,4.1,1,1,2,1,0
